"[101, 31.511715083819993, datetime.datetime(2020, 4, 27, 23, 31, 9, 554751)]"
"[102, 31.491917404213176, datetime.datetime(2020, 4, 27, 23, 31, 11, 580625)]"
"[103, 31.463584210214428, datetime.datetime(2020, 4, 27, 23, 31, 13, 662568)]"
"[104, 31.46461821456533, datetime.datetime(2020, 4, 27, 23, 31, 15, 563031)]"
"[105, 31.465242541835565, datetime.datetime(2020, 4, 27, 23, 31, 17, 465963)]"
"[106, 31.459241342724702, datetime.datetime(2020, 4, 27, 23, 31, 19, 411385)]"
"[107, 31.467883684239837, datetime.datetime(2020, 4, 27, 23, 31, 21, 262557)]"
"[108, 31.44630996932568, datetime.datetime(2020, 4, 27, 23, 31, 23, 310534)]"
"[109, 31.44555654117561, datetime.datetime(2020, 4, 27, 23, 31, 25, 223535)]"
"[110, 31.448545738212953, datetime.datetime(2020, 4, 27, 23, 31, 27, 111638)]"
"[111, 31.442415704200215, datetime.datetime(2020, 4, 27, 23, 31, 29, 60808)]"
"[112, 31.43617057637295, datetime.datetime(2020, 4, 27, 23, 31, 31, 11518)]"
"[113, 31.44369844402617, datetime.datetime(2020, 4, 27, 23, 31, 32, 868511)]"
"[114, 31.445582519141322, datetime.datetime(2020, 4, 27, 23, 31, 34, 763652)]"
"[115, 31.440128726298745, datetime.datetime(2020, 4, 27, 23, 31, 36, 709772)]"
"[116, 31.447952801524536, datetime.datetime(2020, 4, 27, 23, 31, 38, 563111)]"
"[117, 31.44236177506707, datetime.datetime(2020, 4, 27, 23, 31, 40, 510693)]"
"[118, 31.443291865382818, datetime.datetime(2020, 4, 27, 23, 31, 42, 412285)]"
"[119, 31.444206905830757, datetime.datetime(2020, 4, 27, 23, 31, 44, 313876)]"
"[120, 31.418283070687234, datetime.datetime(2020, 4, 27, 23, 31, 46, 410950)]"
"[121, 31.419651494295593, datetime.datetime(2020, 4, 27, 23, 31, 48, 310603)]"
"[122, 31.419754254322598, datetime.datetime(2020, 4, 27, 23, 31, 50, 219471)]"
"[123, 31.40863367615937, datetime.datetime(2020, 4, 27, 23, 31, 52, 212284)]"
"[124, 31.40997053668589, datetime.datetime(2020, 4, 27, 23, 31, 54, 112505)]"
"[125, 31.411172544978747, datetime.datetime(2020, 4, 27, 23, 31, 56, 13569)]"
"[126, 31.38619885343713, datetime.datetime(2020, 4, 27, 23, 31, 58, 115221)]"
"[127, 31.373621774345473, datetime.datetime(2020, 4, 27, 23, 32, 0, 124220)]"
"[128, 31.389246077490526, datetime.datetime(2020, 4, 27, 23, 32, 1, 914831)]"
"[129, 31.37187532846325, datetime.datetime(2020, 4, 27, 23, 32, 3, 962850)]"
"[130, 31.373205300106644, datetime.datetime(2020, 4, 27, 23, 32, 5, 864822)]"
"[131, 31.362584715479223, datetime.datetime(2020, 4, 27, 23, 32, 7, 862135)]"
"[132, 31.34400990153629, datetime.datetime(2020, 4, 27, 23, 32, 9, 924883)]"
"[133, 31.3309841257217, datetime.datetime(2020, 4, 27, 23, 32, 11, 944975)]"
"[134, 31.32447512475204, datetime.datetime(2020, 4, 27, 23, 32, 13, 913327)]"
"[135, 31.31965589306672, datetime.datetime(2020, 4, 27, 23, 32, 15, 868553)]"
